Drug,Species,Total_Observed,Total_Predicted
Amikacin_I,Achromobacter xylosoxidans,6,6.000000000000032
Amikacin_I,Acinetobacter anitratus,2,1.999999999999998
Amikacin_I,Acinetobacter baumannii,5428,5428.000000000017
Amikacin_I,Acinetobacter bereziniae,2,1.9999999999999885
Amikacin_I,Acinetobacter calcoaceticus,1,1.0000000000000144
Amikacin_I,Acinetobacter dijkshoorniae,2,1.9999999999999252
Amikacin_I,Acinetobacter guillouiae,1,1.0000000000000093
Amikacin_I,Acinetobacter haemolyticus,8,7.999999999999954
Amikacin_I,Acinetobacter johnsonii,3,2.9999999999999885
Amikacin_I,Acinetobacter junii,3,2.999999999999975
Amikacin_I,Acinetobacter lwoffii,2,2.0000000000000124
Amikacin_I,Acinetobacter nosocomialis,65,65.00000000000047
Amikacin_I,Acinetobacter pitii,35,34.999999999999915
Amikacin_I,Acinetobacter radioresistens,1,1
Amikacin_I,Acinetobacter ursingii,7,6.999999999999769
Amikacin_I,"Acinetobacter, non-speciated",193,193.00000000000003
Amikacin_I,Citrobacter amalonaticus,2,2.0000000000000004
Amikacin_I,Citrobacter braakii,1,0.9999999999999963
Amikacin_I,Citrobacter farmeri,2,1.9999999999999918
Amikacin_I,Citrobacter freundii,87,86.99999999999996
Amikacin_I,Citrobacter koseri,15,14.999999999999899
Amikacin_I,Citrobacter sedlakii,2,1.9999999999999756
Amikacin_I,"Citrobacter, non-speciated",9,8.999999999999986
Amikacin_I,Enterobacter agglomerans,10,9.99999999999988
Amikacin_I,Enterobacter asburiae,13,13.00000000000001
Amikacin_I,Enterobacter cloacae,570,569.999999999998
Amikacin_I,Enterobacter kobei,11,10.999999999999984
Amikacin_I,"Enterobacter, non-speciated",11,11.000000000000021
Amikacin_I,Escherichia coli,1705,1705
Amikacin_I,Klebsiella aerogenes,139,139.0000000000004
Amikacin_I,Klebsiella oxytoca,111,110.99999999999999
Amikacin_I,Klebsiella planticola,2,1.999999999999995
Amikacin_I,Klebsiella pneumoniae,3393,3393.000000000035
Amikacin_I,Klebsiella variicola,4,3.9999999999999734
Amikacin_I,"Klebsiella, non-speciated",24,23.999999999999712
Amikacin_I,Morganella morganii,68,68
Amikacin_I,Myroides odoratimimus,1,1.000000000000003
Amikacin_I,Pantoea dispersa,1,0.9999999999999966
Amikacin_I,Proteus hauseri,5,4.999999999999987
Amikacin_I,Proteus mirabilis,398,397.9999999999997
Amikacin_I,Proteus penneri,1,0.9999999999999999
Amikacin_I,Proteus vulgaris,31,30.99999999999973
Amikacin_I,Providencia rettgeri,45,45.0000000000001
Amikacin_I,Providencia stuartii,93,92.99999999999976
Amikacin_I,"Providencia, non-speciated",5,5.000000000000005
Amikacin_I,Pseudomonas aeruginosa,2420,2419.9999999999914
Amikacin_I,Raoultella ornithinolytica,3,2.999999999999936
Amikacin_I,Serratia liquefaciens,2,1.999999999999985
Amikacin_I,Serratia marcescens,343,342.9999999999971
Amikacin_I,Serratia ureilytica,3,2.999999999999954
Amikacin_I,"Serratia, non-speciated",1,0.9999999999999838
Amoxycillin clavulanate_I,Citrobacter amalonaticus,16,15.999999999999975
Amoxycillin clavulanate_I,Citrobacter braakii,225,224.99999999999926
Amoxycillin clavulanate_I,Citrobacter diversus,2,2.0000000000000027
Amoxycillin clavulanate_I,Citrobacter farmeri,9,8.99999999999999
Amoxycillin clavulanate_I,Citrobacter freundii,3449,3448.999999999984
Amoxycillin clavulanate_I,Citrobacter koseri,113,113.00000000000045
Amoxycillin clavulanate_I,Citrobacter murliniae,5,4.999999999999955
Amoxycillin clavulanate_I,Citrobacter sedlakii,5,4.999999999999963
Amoxycillin clavulanate_I,Citrobacter spp,3,2.9999999999999925
Amoxycillin clavulanate_I,Citrobacter youngae,2,1.9999999999999984
Amoxycillin clavulanate_I,"Citrobacter, non-speciated",87,86.99999999999906
Amoxycillin clavulanate_I,Enterobacter agglomerans,41,41.00000000000011
Amoxycillin clavulanate_I,Enterobacter asburiae,1430,1429.9999999999895
Amoxycillin clavulanate_I,Enterobacter bugandensis,10,9.999999999999986
Amoxycillin clavulanate_I,Enterobacter cancerogenus,12,12.000000000000012
Amoxycillin clavulanate_I,Enterobacter cloacae,18452,18451.99999999941
Amoxycillin clavulanate_I,Enterobacter hormaechi,34,34.000000000000036
Amoxycillin clavulanate_I,Enterobacter intermedium,3,2.9999999999999942
Amoxycillin clavulanate_I,Enterobacter kobei,655,655.0000000000035
Amoxycillin clavulanate_I,Enterobacter ludwigii,158,158.00000000000125
Amoxycillin clavulanate_I,Enterobacter sakazakii,14,14.00000000000004
Amoxycillin clavulanate_I,Enterobacter spp,7,7.000000000000072
Amoxycillin clavulanate_I,Enterobacter taylorae,4,3.9999999999999396
Amoxycillin clavulanate_I,Enterobacter xiangfangensis,12,12.000000000000057
Amoxycillin clavulanate_I,"Enterobacter, non-speciated",606,606.000000000001
Amoxycillin clavulanate_I,Escherichia coli,6141,6141.000000000014
Amoxycillin clavulanate_I,Haemophilus influenzae,107,107.00000000000088
Amoxycillin clavulanate_I,Haemophilus parainfluenzae,5,5.000000000000203
Amoxycillin clavulanate_I,Hafnia alvei,2,1.9999999999999887
Amoxycillin clavulanate_I,Klebsiella aerogenes,7333,7332.999999999904
Amoxycillin clavulanate_I,Klebsiella ornithinolytica,2,2.0000000000000084
Amoxycillin clavulanate_I,Klebsiella oxytoca,789,789.0000000000034
Amoxycillin clavulanate_I,Klebsiella ozaenae,1,0.9999999999999997
Amoxycillin clavulanate_I,Klebsiella planticola,1,1.0000000000000073
Amoxycillin clavulanate_I,Klebsiella pneumoniae,9456,9456.000000000064
Amoxycillin clavulanate_I,Klebsiella variicola,55,55.00000000000044
Amoxycillin clavulanate_I,"Klebsiella, non-speciated",50,50.00000000000081
Amoxycillin clavulanate_I,Lelliottia amnigena,27,27.00000000000009
Amoxycillin clavulanate_I,Morganella morganii,2419,2419.000000000033
Amoxycillin clavulanate_I,Pantoea dispersa,1,0.9999999999999958
Amoxycillin clavulanate_I,Pluralibacter gergoviae,6,5.999999999999983
Amoxycillin clavulanate_I,Proteus hauseri,15,15.000000000000014
Amoxycillin clavulanate_I,Proteus mirabilis,370,370.0000000000012
Amoxycillin clavulanate_I,Proteus penneri,3,3.000000000000046
Amoxycillin clavulanate_I,Proteus rettgeri,1,0.9999999999999845
Amoxycillin clavulanate_I,Proteus vulgaris,70,69.99999999999973
Amoxycillin clavulanate_I,Providencia alcalifaciens,18,18.00000000000001
Amoxycillin clavulanate_I,Providencia rettgeri,425,424.9999999999951
Amoxycillin clavulanate_I,Providencia spp,1,1.0000000000000087
Amoxycillin clavulanate_I,Providencia stuartii,829,829.0000000000103
Amoxycillin clavulanate_I,"Providencia, non-speciated",41,41.00000000000017
Amoxycillin clavulanate_I,Raoultella ornithinolytica,12,11.999999999999764
Amoxycillin clavulanate_I,Raoultella planticola,4,4.0000000000000435
Amoxycillin clavulanate_I,Serratia ficaria,9,8.999999999999872
Amoxycillin clavulanate_I,Serratia fonticola,4,3.999999999999958
Amoxycillin clavulanate_I,Serratia liquefaciens,75,75.00000000000047
Amoxycillin clavulanate_I,Serratia marcescens,9306,9306.00000000007
Amoxycillin clavulanate_I,Serratia odorifera,5,5.000000000000016
Amoxycillin clavulanate_I,Serratia plymuthica,1,1
Amoxycillin clavulanate_I,Serratia rubidaea,1,1.000000000000006
Amoxycillin clavulanate_I,Serratia ureilytica,99,98.99999999999889
Amoxycillin clavulanate_I,"Serratia, non-speciated",59,58.99999999999983
Amoxycillin clavulanate_I,Streptococcus pneumoniae,820,820.0000000000034
Ampicillin_I,Citrobacter amalonaticus,82,82.00000000000031
Ampicillin_I,Citrobacter braakii,190,189.9999999999989
Ampicillin_I,Citrobacter diversus,13,12.999999999999849
Ampicillin_I,Citrobacter farmeri,54,54.00000000000006
Ampicillin_I,Citrobacter freundii,2849,2848.9999999999927
Ampicillin_I,Citrobacter gillenii,1,1.0000000000000036
Ampicillin_I,Citrobacter koseri,3635,3634.9999999999945
Ampicillin_I,Citrobacter murliniae,5,4.999999999999994
Ampicillin_I,Citrobacter sedlakii,34,33.99999999999991
Ampicillin_I,Citrobacter spp,2,1.9999999999999802
Ampicillin_I,Citrobacter youngae,2,1.9999999999999996
Ampicillin_I,"Citrobacter, non-speciated",110,109.99999999999626
Ampicillin_I,Enterobacter agglomerans,53,52.99999999999988
Ampicillin_I,Enterobacter asburiae,1214,1213.9999999999811
Ampicillin_I,Enterobacter bugandensis,11,10.999999999999863
Ampicillin_I,Enterobacter cancerogenus,9,8.999999999999948
Ampicillin_I,Enterobacter cloacae,17271,17270.99999999975
Ampicillin_I,Enterobacter hormaechi,33,32.99999999999994
Ampicillin_I,Enterobacter intermedium,2,1.9999999999999902
Ampicillin_I,Enterobacter kobei,590,589.9999999999957
Ampicillin_I,Enterobacter ludwigii,150,150.0000000000021
Ampicillin_I,Enterobacter sakazakii,13,12.99999999999926
Ampicillin_I,Enterobacter spp,7,7.000000000000028
Ampicillin_I,Enterobacter taylorae,5,5.000000000000032
Ampicillin_I,Enterobacter xiangfangensis,11,11.000000000000188
Ampicillin_I,"Enterobacter, non-speciated",556,555.9999999999956
Ampicillin_I,Enterococcus avium,12,11.99999999999985
Ampicillin_I,Enterococcus casseliflavus,3,2.9999999999999614
Ampicillin_I,Enterococcus durans,12,12.000000000000252
Ampicillin_I,Enterococcus faecalis,96,95.99999999999909
Ampicillin_I,Enterococcus faecium,5362,5361.99999999991
Ampicillin_I,Enterococcus gallinarum,14,13.99999999999999
Ampicillin_I,Enterococcus hirae,1,1.000000000000024
Ampicillin_I,Enterococcus raffinosus,25,25.00000000000003
Ampicillin_I,"Enterococcus, non-speciated",8,8.000000000000233
Ampicillin_I,Escherichia coli,31745,31745.000000000295
Ampicillin_I,Escherichia hermanii,2,2.0000000000000058
Ampicillin_I,Escherichia vulneris,1,1.000000000000013
Ampicillin_I,Haemophilus influenzae,2816,2815.9999999999545
Ampicillin_I,Haemophilus parainfluenzae,59,59.00000000000021
Ampicillin_I,Hafnia alvei,2,2.000000000000008
Ampicillin_I,Klebsiella aerogenes,6989,6988.999999999845
Ampicillin_I,Klebsiella ornithinolytica,7,7.000000000000035
Ampicillin_I,Klebsiella oxytoca,7007,7006.999999999947
Ampicillin_I,Klebsiella ozaenae,5,5
Ampicillin_I,Klebsiella planticola,5,5
Ampicillin_I,Klebsiella pneumoniae,36585,36584.99999999945
Ampicillin_I,Klebsiella spp,6,5.999999999999998
Ampicillin_I,Klebsiella variicola,447,447.0000000000007
Ampicillin_I,"Klebsiella, non-speciated",173,173.00000000000003
Ampicillin_I,Kluyvera ascorbata,1,1.0000000000000104
Ampicillin_I,Lelliottia amnigena,27,27.00000000000008
Ampicillin_I,Morganella morganii,2434,2434.000000000008
Ampicillin_I,Pantoea dispersa,1,1.0000000000000064
Ampicillin_I,Pantoea septica,1,1.0000000000000078
Ampicillin_I,Pluralibacter gergoviae,12,12.000000000000124
Ampicillin_I,Proteus hauseri,280,280.0000000000035
Ampicillin_I,Proteus mirabilis,2015,2014.9999999999818
Ampicillin_I,Proteus penneri,78,78.00000000000074
Ampicillin_I,Proteus spp,2,1.9999999999999947
Ampicillin_I,Proteus vulgaris,1785,1784.9999999999873
Ampicillin_I,Providencia alcalifaciens,12,12.000000000000199
Ampicillin_I,Providencia rettgeri,236,236.00000000000043
Ampicillin_I,Providencia spp,2,2.000000000000014
Ampicillin_I,Providencia stuartii,645,644.9999999999998
Ampicillin_I,"Providencia, non-speciated",31,31.000000000000206
Ampicillin_I,Raoultella ornithinolytica,121,121.00000000000041
Ampicillin_I,Raoultella planticola,31,31.000000000000405
Ampicillin_I,Salmonella spp,1,0.9999999999999545
Ampicillin_I,Serratia ficaria,9,9.000000000000044
Ampicillin_I,Serratia fonticola,9,8.999999999999766
Ampicillin_I,Serratia liquefaciens,66,66.00000000000087
Ampicillin_I,Serratia marcescens,8694,8694.000000000007
Ampicillin_I,Serratia odorifera,9,9.000000000000103
Ampicillin_I,Serratia plymuthica,2,2.0000000000000364
Ampicillin_I,Serratia rubidaea,5,5.000000000000053
Ampicillin_I,Serratia ureilytica,94,94.00000000000063
Ampicillin_I,"Serratia, non-speciated",52,52.00000000000053
Cefepime_I,Achromobacter xylosoxidans,3,2.9999999999997127
Cefepime_I,Acinetobacter anitratus,11,10.999999999999952
Cefepime_I,Acinetobacter baumannii,7203,7202.99999999996
Cefepime_I,Acinetobacter baylyi,3,2.999999999999993
Cefepime_I,Acinetobacter bereziniae,3,3.0000000000000155
Cefepime_I,Acinetobacter calcoaceticus,5,4.999999999999911
Cefepime_I,Acinetobacter dijkshoorniae,1,1.0000000000000018
Cefepime_I,Acinetobacter guillouiae,4,3.9999999999999227
Cefepime_I,Acinetobacter haemolyticus,2,2.000000000000098
Cefepime_I,Acinetobacter johnsonii,16,16.000000000000053
Cefepime_I,Acinetobacter junii,5,4.999999999999985
Cefepime_I,Acinetobacter lwoffii,17,17.000000000000185
Cefepime_I,Acinetobacter nosocomialis,107,106.9999999999992
Cefepime_I,Acinetobacter pitii,87,87.00000000000064
Cefepime_I,Acinetobacter radioresistens,1,0.9999999999999728
Cefepime_I,Acinetobacter schindleri,2,2.0000000000000084
Cefepime_I,Acinetobacter seifertii,1,1.0000000000000153
Cefepime_I,Acinetobacter ursingii,19,19.000000000000192
Cefepime_I,"Acinetobacter, non-speciated",237,237.0000000000001
Cefepime_I,Citrobacter amalonaticus,5,4.999999999999995
Cefepime_I,Citrobacter braakii,9,8.999999999999865
Cefepime_I,Citrobacter diversus,1,1.0000000000000067
Cefepime_I,Citrobacter farmeri,5,5.000000000000019
Cefepime_I,Citrobacter freundii,300,299.9999999999961
Cefepime_I,Citrobacter koseri,45,44.99999999999981
Cefepime_I,Citrobacter sedlakii,3,3.000000000000078
Cefepime_I,Citrobacter spp,1,1.0000000000000007
Cefepime_I,"Citrobacter, non-speciated",22,21.999999999999993
Cefepime_I,Enterobacter agglomerans,10,10.000000000000007
Cefepime_I,Enterobacter asburiae,54,53.999999999999815
Cefepime_I,Enterobacter cloacae,2281,2281.0000000000255
Cefepime_I,Enterobacter hormaechi,4,4.000000000000044
Cefepime_I,Enterobacter kobei,28,27.999999999999773
Cefepime_I,Enterobacter sakazakii,1,0.9999999999999997
Cefepime_I,Enterobacter xiangfangensis,2,2.000000000000006
Cefepime_I,"Enterobacter, non-speciated",73,72.99999999999966
Cefepime_I,Escherichia coli,8192,8192.000000000102
Cefepime_I,Klebsiella aerogenes,301,300.99999999999875
Cefepime_I,Klebsiella oxytoca,251,250.9999999999977
Cefepime_I,Klebsiella planticola,2,1.9999999999999922
Cefepime_I,Klebsiella pneumoniae,11709,11708.999999999854
Cefepime_I,Klebsiella spp,1,1.00000000000001
Cefepime_I,Klebsiella variicola,35,34.99999999999982
Cefepime_I,"Klebsiella, non-speciated",70,70.00000000000007
Cefepime_I,Kluyvera ascorbata,1,1.0000000000000004
Cefepime_I,Lelliottia amnigena,2,2.0000000000000395
Cefepime_I,Morganella morganii,64,63.99999999999989
Cefepime_I,Pantoea dispersa,1,1.000000000000005
Cefepime_I,Pluralibacter gergoviae,5,4.999999999999992
Cefepime_I,Proteus hauseri,2,1.999999999999994
Cefepime_I,Proteus mirabilis,400,400.000000000001
Cefepime_I,Proteus vulgaris,18,18.000000000000117
Cefepime_I,Providencia rettgeri,39,39.00000000000032
Cefepime_I,Providencia stuartii,100,99.99999999999952
Cefepime_I,"Providencia, non-speciated",4,3.9999999999999645
Cefepime_I,Pseudomonas aeruginosa,4731,4730.999999999975
Cefepime_I,Pseudomonas mosselii,1,1.0000000000000295
Cefepime_I,Pseudomonas putida,2,2.0000000000000138
Cefepime_I,Raoultella ornithinolytica,11,11.000000000000213
Cefepime_I,Serratia ficaria,1,0.9999999999999998
Cefepime_I,Serratia liquefaciens,2,2.0000000000000124
Cefepime_I,Serratia marcescens,466,466.0000000000021
Cefepime_I,Serratia odorifera,1,0.9999999999999986
Cefepime_I,Serratia rubidaea,1,1.0000000000000029
Cefepime_I,Serratia ureilytica,6,5.999999999999982
Cefepime_I,"Serratia, non-speciated",4,3.999999999999993
Ceftazidime_I,Acinetobacter anitratus,13,12.999999999998685
Ceftazidime_I,Acinetobacter baumannii,7742,7741.999999999935
Ceftazidime_I,Acinetobacter baylyi,5,4.999999999999974
Ceftazidime_I,Acinetobacter bereziniae,5,4.999999999999932
Ceftazidime_I,Acinetobacter calcoaceticus,4,3.999999999999941
Ceftazidime_I,Acinetobacter dijkshoorniae,6,6.000000000000035
Ceftazidime_I,Acinetobacter guillouiae,2,2.0000000000000027
Ceftazidime_I,Acinetobacter haemolyticus,3,3.0000000000000475
Ceftazidime_I,Acinetobacter johnsonii,7,7.000000000000016
Ceftazidime_I,Acinetobacter junii,6,5.999999999999927
Ceftazidime_I,Acinetobacter lwoffii,29,29.00000000000009
Ceftazidime_I,Acinetobacter nosocomialis,89,89.00000000000009
Ceftazidime_I,Acinetobacter parvus,1,0.9999999999999853
Ceftazidime_I,Acinetobacter pitii,81,81.00000000000013
Ceftazidime_I,Acinetobacter radioresistens,2,2.00000000000002
Ceftazidime_I,Acinetobacter schindleri,2,2.000000000000086
Ceftazidime_I,Acinetobacter seifertii,1,1.0000000000000104
Ceftazidime_I,Acinetobacter spp,2,1.999999999999996
Ceftazidime_I,Acinetobacter tjernbergiae,1,1.0000000000000007
Ceftazidime_I,Acinetobacter ursingii,86,85.9999999999996
Ceftazidime_I,"Acinetobacter, non-speciated",247,246.99999999999943
Ceftazidime_I,Aeromonas spp,1,0.9999999999999953
Ceftazidime_I,Citrobacter amalonaticus,5,5.000000000000007
Ceftazidime_I,Citrobacter braakii,67,66.99999999999964
Ceftazidime_I,Citrobacter diversus,1,1.000000000000013
Ceftazidime_I,Citrobacter farmeri,6,6.000000000000031
Ceftazidime_I,Citrobacter freundii,1300,1299.999999999996
Ceftazidime_I,Citrobacter koseri,79,79.00000000000048
Ceftazidime_I,Citrobacter murliniae,3,2.9999999999999805
Ceftazidime_I,Citrobacter sedlakii,3,3.000000000000004
Ceftazidime_I,Citrobacter spp,2,1.9999999999999645
Ceftazidime_I,Citrobacter youngae,1,1.0000000000000187
Ceftazidime_I,"Citrobacter, non-speciated",44,43.99999999999965
Ceftazidime_I,Enterobacter agglomerans,1,1.000000000000016
Ceftazidime_I,Enterobacter asburiae,273,273.0000000000003
Ceftazidime_I,Enterobacter bugandensis,1,0.9999999999999774
Ceftazidime_I,Enterobacter cloacae,4891,4890.999999999992
Ceftazidime_I,Enterobacter hormaechi,7,6.999999999999988
Ceftazidime_I,Enterobacter kobei,132,131.9999999999989
Ceftazidime_I,Enterobacter ludwigii,24,23.99999999999995
Ceftazidime_I,Enterobacter sakazakii,1,1
Ceftazidime_I,Enterobacter spp,3,2.9999999999999996
Ceftazidime_I,Enterobacter xiangfangensis,5,4.999999999999956
Ceftazidime_I,"Enterobacter, non-speciated",169,169
Ceftazidime_I,Escherichia coli,6880,6879.999999999993
Ceftazidime_I,Hafnia alvei,1,1.0000000000000056
Ceftazidime_I,Klebsiella aerogenes,1760,1759.9999999999961
